Year,Quarter,Vehicle_Type,Category,Manufacturer,Registration_Count,YoY_Growth,QoQ_Growth
2022,Yearly,2W,Category_1,All,13719,,
2022,Yearly,4W,Category_1,All,2807,,
2023,Yearly,2W,Category_1,All,24455,78.25643268,
2023,Yearly,4W,Category_1,All,3555,26.64766655,
2024,Yearly,2W,Category_1,All,15864,-35.1298303,
2024,Yearly,4W,Category_1,All,3546,-0.253164557,
2025,Yearly,2W,Category_1,All,15927,0.397125567,
2025,Yearly,4W,Category_1,All,1942,-45.23406655,
2022,Yearly,2W,Category_2,All,2,,
2022,Yearly,4W,Category_2,All,0,,
2023,Yearly,2W,Category_2,All,6,200.0,
2023,Yearly,4W,Category_2,All,4,inf,
2024,Yearly,2W,Category_2,All,2,-66.66666667,
2024,Yearly,4W,Category_2,All,0,-100.0,
2025,Yearly,2W,Category_2,All,0,-100.0,
2025,Yearly,4W,Category_2,All,0,,
2022,Yearly,2W,Category_3,All,0,,
2022,Yearly,4W,Category_3,All,0,,
2023,Yearly,2W,Category_3,All,0,,
2023,Yearly,4W,Category_3,All,0,,
2024,Yearly,2W,Category_3,All,0,,
2024,Yearly,4W,Category_3,All,0,,
2025,Yearly,2W,Category_3,All,0,,
2025,Yearly,4W,Category_3,All,0,,
2022,Yearly,2W,Category_4,All,13721,,
2022,Yearly,4W,Category_4,All,0,,
2023,Yearly,2W,Category_4,All,24461,78.27417827,
2023,Yearly,4W,Category_4,All,0,,
2024,Yearly,2W,Category_4,All,15866,-35.13756592,
2024,Yearly,4W,Category_4,All,0,,
2025,Yearly,2W,Category_4,All,15927,0.384469936,
2025,Yearly,4W,Category_4,All,0,,
2022,Yearly,4W,Category_5,All,2807,,
2023,Yearly,4W,Category_5,All,3559,26.79016744,
2024,Yearly,4W,Category_5,All,3546,-0.365271144,
2025,Yearly,4W,Category_5,All,1942,-45.23406655,
2022,Yearly,3W,Category_1,All,0,,
2023,Yearly,3W,Category_1,All,0,,
2024,Yearly,3W,Category_1,All,0,,
2025,Yearly,3W,Category_1,All,0,,
2022,Yearly,3W,Category_2,All,20486,,
2023,Yearly,3W,Category_2,All,34896,70.34072049,
2024,Yearly,3W,Category_2,All,58936,68.89041724,
2025,Yearly,3W,Category_2,All,49643,-15.76795168,
2022,Yearly,3W,Category_3,All,20486,,
2023,Yearly,3W,Category_3,All,34896,70.34072049,
2024,Yearly,3W,Category_3,All,58936,68.89041724,
2025,Yearly,3W,Category_3,All,49643,-15.76795168,
2022,Yearly,3W,Category_1,All,1,,
2023,Yearly,3W,Category_1,All,25,2400.0,
2024,Yearly,3W,Category_1,All,0,-100.0,
2022,Yearly,3W,Category_2,All,305038,,
2023,Yearly,3W,Category_2,All,474168,55.44555105,
2024,Yearly,3W,Category_2,All,481764,1.601963861,
2025,Yearly,3W,Category_2,All,269242,-44.11330029,
2022,Yearly,3W,Category_3,All,305039,,
2023,Yearly,3W,Category_3,All,474193,55.45323713,
2024,Yearly,3W,Category_3,All,481764,1.596607289,
2025,Yearly,3W,Category_3,All,269242,-44.11330029,
2022,Yearly,2W,Category_1,All,1,,
2023,Yearly,2W,Category_1,All,1,0.0,
2024,Yearly,2W,Category_1,All,0,-100.0,
2025,Yearly,2W,Category_1,All,0,,
2022,Yearly,2W,Category_2,All,14976103,,
2023,Yearly,2W,Category_2,All,16483880,10.06788615,
2024,Yearly,2W,Category_2,All,18331783,11.21036431,
2025,Yearly,2W,Category_2,All,10500533,-42.71952161,
2022,Yearly,2W,Category_4,All,14976104,,
2023,Yearly,2W,Category_4,All,16483881,10.06788548,
2024,Yearly,2W,Category_4,All,18331783,11.21035756,
2025,Yearly,2W,Category_4,All,10500533,-42.71952161,
2022,Yearly,2W,Category_1,All,0,,
2023,Yearly,2W,Category_1,All,0,,
2024,Yearly,2W,Category_1,All,0,,
2022,Yearly,2W,Category_2,All,14098,,
2023,Yearly,2W,Category_2,All,13292,-5.717122996,
2024,Yearly,2W,Category_2,All,6574,-50.54167921,
2025,Yearly,2W,Category_2,All,3057,-53.49863097,
2022,Yearly,2W,Category_4,All,14098,,
2023,Yearly,2W,Category_4,All,13292,-5.717122996,
2024,Yearly,2W,Category_4,All,6574,-50.54167921,
2025,Yearly,2W,Category_4,All,3057,-53.49863097,
2022,Yearly,2W,Category_2,All,357775,,
2023,Yearly,2W,Category_2,All,349183,-2.401509328,
2024,Yearly,2W,Category_2,All,377489,8.106351111,
2025,Yearly,2W,Category_2,All,205462,-45.57139413,
2022,Yearly,2W,Category_4,All,357775,,
2023,Yearly,2W,Category_4,All,349183,-2.401509328,
2024,Yearly,2W,Category_4,All,377489,8.106351111,
2025,Yearly,2W,Category_4,All,205462,-45.57139413,
2022,Yearly,4W,Category_1,All,0,,
2023,Yearly,4W,Category_1,All,0,,
2024,Yearly,4W,Category_1,All,0,,
2022,Yearly,4W,Category_2,All,4319,,
2023,Yearly,4W,Category_2,All,450,-89.58092151,
2024,Yearly,4W,Category_2,All,54,-88.0,
2022,Yearly,4W,Category_5,All,4319,,
2023,Yearly,4W,Category_5,All,450,-89.58092151,
2024,Yearly,4W,Category_5,All,54,-88.0,
2025,Yearly,4W,Category_1,All,0,,
2022,Yearly,4W,Category_2,All,3336153,,
2023,Yearly,4W,Category_2,All,3591440,7.652137057,
2024,Yearly,4W,Category_2,All,3739539,4.123666273,
2025,Yearly,4W,Category_2,All,2298441,-38.53678221,
2022,Yearly,4W,Category_5,All,3336153,,
2023,Yearly,4W,Category_5,All,3591440,7.652137057,
2024,Yearly,4W,Category_5,All,3739539,4.123666273,
2025,Yearly,4W,Category_5,All,2298441,-38.53678221,
2022,Yearly,2W,Category_2,All,0,,
2023,Yearly,2W,Category_2,All,0,,
2024,Yearly,2W,Category_2,All,0,,
2025,Yearly,2W,Category_2,All,0,,
2022,Yearly,2W,Category_3,All,206,,
2023,Yearly,2W,Category_3,All,100,-51.45631068,
2024,Yearly,2W,Category_3,All,111,11.0,
2025,Yearly,2W,Category_3,All,52,-53.15315315,
2022,Yearly,2W,Category_4,All,206,,
2023,Yearly,2W,Category_4,All,100,-51.45631068,
2024,Yearly,2W,Category_4,All,111,11.0,
2025,Yearly,2W,Category_4,All,52,-53.15315315,
2022,Yearly,2W,Category_3,All,18781,,
2023,Yearly,2W,Category_3,All,16293,-13.24743091,
2024,Yearly,2W,Category_3,All,19340,18.70128276,
2025,Yearly,2W,Category_3,All,10276,-46.86659772,
2022,Yearly,2W,Category_4,All,18781,,
2023,Yearly,2W,Category_4,All,16293,-13.24743091,
2024,Yearly,2W,Category_4,All,19340,18.70128276,
2025,Yearly,2W,Category_4,All,10276,-46.86659772,
2022,Yearly,2W,Category_3,All,2,,
2023,Yearly,2W,Category_3,All,41,1950.0,
2024,Yearly,2W,Category_3,All,30,-26.82926829,
2022,Yearly,2W,Category_4,All,2,,
2023,Yearly,2W,Category_4,All,41,1950.0,
2024,Yearly,2W,Category_4,All,30,-26.82926829,
2022,Yearly,2W,Category_2,All,217822,,
2023,Yearly,2W,Category_2,All,210057,-3.564837344,
2024,Yearly,2W,Category_2,All,188810,-10.11487358,
2025,Yearly,2W,Category_2,All,89242,-52.73449499,
2022,Yearly,2W,Category_4,All,217822,,
2023,Yearly,2W,Category_4,All,210057,-3.564837344,
2024,Yearly,2W,Category_4,All,188810,-10.11487358,
2025,Yearly,2W,Category_4,All,89242,-52.73449499,
2022,Yearly,4W,Category_2,All,3231,,
2023,Yearly,4W,Category_2,All,5945,83.99876199,
2024,Yearly,4W,Category_2,All,7115,19.6804037,
2025,Yearly,4W,Category_2,All,5357,-24.70836261,
2022,Yearly,4W,Category_3,All,21,,
2023,Yearly,4W,Category_3,All,134,538.0952381,
2024,Yearly,4W,Category_3,All,31,-76.86567164,
2025,Yearly,4W,Category_3,All,53,70.96774194,
2022,Yearly,4W,Category_4,All,9,,
2023,Yearly,4W,Category_4,All,44,388.8888889,
2024,Yearly,4W,Category_4,All,0,-100.0,
2025,Yearly,4W,Category_4,All,31,inf,
2022,Yearly,4W,Category_5,All,3261,,
2023,Yearly,4W,Category_5,All,6123,87.76448942,
2024,Yearly,4W,Category_5,All,7146,16.70749633,
2025,Yearly,4W,Category_5,All,5441,-23.85950182,
2022,Yearly,4W,Category_2,All,686,,
2023,Yearly,4W,Category_2,All,1956,185.1311953,
2024,Yearly,4W,Category_2,All,1720,-12.06543967,
2025,Yearly,4W,Category_2,All,1060,-38.37209302,
2022,Yearly,4W,Category_3,All,14,,
2023,Yearly,4W,Category_3,All,14,0.0,
2024,Yearly,4W,Category_3,All,19,35.71428571,
2025,Yearly,4W,Category_3,All,12,-36.84210526,
2022,Yearly,4W,Category_4,All,10,,
2023,Yearly,4W,Category_4,All,16,60.0,
2024,Yearly,4W,Category_4,All,8,-50.0,
2025,Yearly,4W,Category_4,All,22,175.0,
2022,Yearly,4W,Category_5,All,710,,
2023,Yearly,4W,Category_5,All,1986,179.7183099,
2024,Yearly,4W,Category_5,All,1747,-12.03423968,
2025,Yearly,4W,Category_5,All,1094,-37.37836291,
2022,Yearly,4W,Category_2,All,55,,
2023,Yearly,4W,Category_2,All,37,-32.72727273,
2024,Yearly,4W,Category_2,All,40,8.108108108,
2025,Yearly,4W,Category_2,All,6,-85.0,
2022,Yearly,4W,Category_5,All,55,,
2023,Yearly,4W,Category_5,All,37,-32.72727273,
2024,Yearly,4W,Category_5,All,40,8.108108108,
2025,Yearly,4W,Category_5,All,6,-85.0,
2022,Yearly,3W,Category_2,All,89791,,
2023,Yearly,3W,Category_2,All,114517,27.53728102,
2024,Yearly,3W,Category_2,All,124979,9.135761503,
2025,Yearly,3W,Category_2,All,75873,-39.29140096,
2022,Yearly,3W,Category_3,All,89791,,
2023,Yearly,3W,Category_3,All,114517,27.53728102,
2024,Yearly,3W,Category_3,All,124979,9.135761503,
2025,Yearly,3W,Category_3,All,75873,-39.29140096,
2022,Yearly,3W,Category_1,All,13144,,
2023,Yearly,3W,Category_1,All,6313,-51.97048083,
2022,Yearly,3W,Category_2,All,254856,,
2023,Yearly,3W,Category_2,All,474606,86.22516244,
2024,Yearly,3W,Category_2,All,555199,16.98103269,
2025,Yearly,3W,Category_2,All,340101,-38.74250494,
2022,Yearly,3W,Category_3,All,268000,,
2023,Yearly,3W,Category_3,All,480919,79.44738806,
2024,Yearly,3W,Category_3,All,555199,15.44542844,
2025,Yearly,3W,Category_3,All,340101,-38.74250494,
2022,Yearly,3W,Category_1,All,671,,
2023,Yearly,3W,Category_1,All,922,37.40685544,
2024,Yearly,3W,Category_1,All,976,5.856832972,
2025,Yearly,3W,Category_1,All,726,-25.6147541,
2022,Yearly,3W,Category_2,All,0,,
2023,Yearly,3W,Category_2,All,0,,
2024,Yearly,3W,Category_2,All,0,,
2025,Yearly,3W,Category_2,All,0,,
2022,Yearly,3W,Category_3,All,671,,
2023,Yearly,3W,Category_3,All,922,37.40685544,
2024,Yearly,3W,Category_3,All,976,5.856832972,
2025,Yearly,3W,Category_3,All,726,-25.6147541,
2022,Q1,4W,FOUR WHEELER (INVALID CARRIAGE),All,666,,
2022,Q2,4W,FOUR WHEELER (INVALID CARRIAGE),All,644,,-3.3
2022,Q3,4W,FOUR WHEELER (INVALID CARRIAGE),All,684,,6.21
2022,Q4,4W,FOUR WHEELER (INVALID CARRIAGE),All,813,,18.86
2023,Q1,4W,FOUR WHEELER (INVALID CARRIAGE),All,813,,0.0
2023,Q2,4W,FOUR WHEELER (INVALID CARRIAGE),All,937,,15.25
2023,Q3,4W,FOUR WHEELER (INVALID CARRIAGE),All,903,,-3.63
2023,Q4,4W,FOUR WHEELER (INVALID CARRIAGE),All,902,,-0.11
2024,Q1,4W,FOUR WHEELER (INVALID CARRIAGE),All,987,,9.42
2024,Q2,4W,FOUR WHEELER (INVALID CARRIAGE),All,974,,-1.32
2024,Q3,4W,FOUR WHEELER (INVALID CARRIAGE),All,730,,-25.05
2024,Q4,4W,FOUR WHEELER (INVALID CARRIAGE),All,855,,17.12
2025,Q1,4W,FOUR WHEELER (INVALID CARRIAGE),All,825,,-3.51
2025,Q2,4W,FOUR WHEELER (INVALID CARRIAGE),All,796,,-3.52
2022,Q1,4W,HEAVY GOODS VEHICLE,All,66228,,
2022,Q2,4W,HEAVY GOODS VEHICLE,All,68879,,4.0
2022,Q3,4W,HEAVY GOODS VEHICLE,All,58409,,-15.2
2022,Q4,4W,HEAVY GOODS VEHICLE,All,68557,,17.37
2023,Q1,4W,HEAVY GOODS VEHICLE,All,85363,,24.51
2023,Q2,4W,HEAVY GOODS VEHICLE,All,75935,,-11.04
2023,Q3,4W,HEAVY GOODS VEHICLE,All,64951,,-14.47
2023,Q4,4W,HEAVY GOODS VEHICLE,All,74861,,15.26
2024,Q1,4W,HEAVY GOODS VEHICLE,All,81262,,8.55
2024,Q2,4W,HEAVY GOODS VEHICLE,All,72145,,-11.22
2024,Q3,4W,HEAVY GOODS VEHICLE,All,60308,,-16.41
2024,Q4,4W,HEAVY GOODS VEHICLE,All,68283,,13.22
2025,Q1,4W,HEAVY GOODS VEHICLE,All,76553,,12.11
2025,Q2,4W,HEAVY GOODS VEHICLE,All,68639,,-10.34
2022,Q1,4W,HEAVY MOTOR VEHICLE,All,1464,,
2022,Q2,4W,HEAVY MOTOR VEHICLE,All,1433,,-2.12
2022,Q3,4W,HEAVY MOTOR VEHICLE,All,1278,,-10.82
2022,Q4,4W,HEAVY MOTOR VEHICLE,All,1565,,22.46
2023,Q1,4W,HEAVY MOTOR VEHICLE,All,1491,,-4.73
2023,Q2,4W,HEAVY MOTOR VEHICLE,All,1727,,15.83
2023,Q3,4W,HEAVY MOTOR VEHICLE,All,1312,,-24.03
2023,Q4,4W,HEAVY MOTOR VEHICLE,All,1251,,-4.65
2024,Q1,4W,HEAVY MOTOR VEHICLE,All,1249,,-0.16
2024,Q2,4W,HEAVY MOTOR VEHICLE,All,1210,,-3.12
2024,Q3,4W,HEAVY MOTOR VEHICLE,All,1011,,-16.45
2024,Q4,4W,HEAVY MOTOR VEHICLE,All,1023,,1.19
