Maker,Sub_Category,Count,Year,Vehicle_Type
ADISHWAR AUTO RIDE INDIA PVT LTD,Unnamed: 2,0,2022,2W
ADRIS ELECTRIC PVT LTD,Unnamed: 2,0,2022,2W
AFTEK MOTORS INDIA PVT LTD,Unnamed: 2,0,2022,2W
AHMED MOTORS,Unnamed: 2,0,2022,2W
AJS MOTORCYCLES LTD,Unnamed: 2,0,2022,2W
ALTIUS EV TECH PVT LTD,Unnamed: 2,0,2022,2W
AMO MOBILITY SOLUTIONS PVT LTD,Unnamed: 2,0,2022,2W
AMPERE VEHICLES PRIVATE LIMITED,Unnamed: 2,2,2022,2W
AMPERE VEHICLES PVT LTD,Unnamed: 2,0,2022,2W
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,Unnamed: 2,0,2022,2W
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),Unnamed: 2,0,2022,2W
ANVITA AUTO TECH WORKS PVT LTD,Unnamed: 2,0,2022,2W
ATHER ENERGY LTD,Unnamed: 2,1,2022,2W
ATOMEX E-MOTORS INDIA PVT LTD,Unnamed: 2,0,2022,2W
AUTOROLA INDIA TO,Unnamed: 2,0,2022,2W
AYAAN ELECTRONIC PVT LTD,Unnamed: 2,0,2022,2W
BAJAJ AUTO LTD,Unnamed: 2,28,2022,2W
BATTRE ELECTRIC MOBLITY PVT LTD,Unnamed: 2,0,2022,2W
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,Unnamed: 2,0,2022,2W
BGAUSS AUTO PRIVATE LIMITED,Unnamed: 2,0,2022,2W
BLIX CYCLES AND E-VEHICLES PVT LTD,Unnamed: 2,0,2022,2W
BMW INDIA PVT LTD,Unnamed: 2,0,2022,2W
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,Unnamed: 2,0,2022,2W
BOUNCE ELECTRIC 1 PVT LTD,Unnamed: 2,0,2022,2W
BSA MOTORS,Unnamed: 2,0,2022,2W
CHANDANA CORPORATION,Unnamed: 2,0,2022,2W
CLASSIC LEGENDS PVT LTD,Unnamed: 2,0,2022,2W
DAO EVTECH PRIVATE LIMITED,Unnamed: 2,0,2022,2W
DILLI ELECTRIC AUTO PVT LTD,Unnamed: 2,0,2022,2W
DSK MOTOWHEELS PVT LTD.,Unnamed: 2,0,2022,2W
DUCATI INDIA PVT LTD,Unnamed: 2,0,2022,2W
DUCATI MOTOR HOLDING S.P.A,Unnamed: 2,0,2022,2W
ECO FUEL SYSTEMS (I) PVT LTD,Unnamed: 2,0,2022,2W
EICHER MOTORS LTD,Unnamed: 2,0,2022,2W
ELECTRECA VEHICLES,Unnamed: 2,0,2022,2W
ELTHOR ENERGY PRIVATE LIMITED,Unnamed: 2,0,2022,2W
ENGTIAN ELECTRIC BIKE PVT LTD,Unnamed: 2,0,2022,2W
ESCORTS CONSTRUCTION EQUIPMENT LTD,Unnamed: 2,0,2022,2W
ESCORTS R&D CENTRE,Unnamed: 2,0,2022,2W
EVTRIC MOTORS PVT LTD,Unnamed: 2,0,2022,2W
EXERVAL PVT LTD,Unnamed: 2,0,2022,2W
FIADO INDUSTRIES PVT LTD,Unnamed: 2,0,2022,2W
GODREJ AND BOYCE MFG CO LTD,Unnamed: 2,0,2022,2W
GO GREEN EOT (ENERGY OF THINGS) PVT LTD,Unnamed: 2,0,2022,2W
GOREEN E-MOBILITY PVT LTD,Unnamed: 2,1,2022,2W
GREAVES ELECTRIC MOBILITY PVT LTD,Unnamed: 2,0,2022,2W
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),Unnamed: 2,0,2022,2W
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),Unnamed: 2,0,2022,2W
H-D MOTOR COMPANY INDIA PVT LTD,Unnamed: 2,0,2022,2W
HERO ELECTRIC VEHICLE PVT LTD,Unnamed: 2,0,2022,2W
HERO ELECTRIC VEHICLES PVT. LTD,Unnamed: 2,1,2022,2W
HERO HONDA MOTORS  LTD,Unnamed: 2,0,2022,2W
HERO MOTOCORP LTD,Unnamed: 2,5570,2022,2W
HILLMAN MOTORS LTD,Unnamed: 2,0,2022,2W
HONDA CARS INDIA LTD,Unnamed: 2,0,2022,2W
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,Unnamed: 2,1199,2022,2W
HONGHUA INTER CO LTD,Unnamed: 2,0,2022,2W
HONGKONG YIXING (IMPORTER: ADMS MARKETING),Unnamed: 2,0,2022,2W
HOP ELECTRIC MOBILITY PVT LTD,Unnamed: 2,0,2022,2W
HOUSTAN INNOVATION LLP,Unnamed: 2,0,2022,2W
HYUNDAI MOTOR INDIA LTD,Unnamed: 2,1,2022,2W
INDIA KAWASAKI MOTORS PVT LTD,Unnamed: 2,0,2022,2W
INDIA YAMAHA MOTOR PVT LTD,Unnamed: 2,20,2022,2W
IRA EDUTECH PVT LTD,Unnamed: 2,0,2022,2W
IVOOMI INNOVATION PVT LTD,Unnamed: 2,0,2022,2W
IZANAU ELECTRIC LLP,Unnamed: 2,0,2022,2W
JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),Unnamed: 2,0,2022,2W
JIANGSU SUNHOU (IMPORTER: SABOO TOR),Unnamed: 2,0,2022,2W
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),Unnamed: 2,0,2022,2W
JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),Unnamed: 2,0,2022,2W
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),Unnamed: 2,0,2022,2W
JITENDRA NEW EV-TECH PVT. LTD,Unnamed: 2,0,2022,2W
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),Unnamed: 2,0,2022,2W
