Year,Vehicle_Type,Vehicle_Class,Category,Registration_Count,YoY_Growth
2022,2W,ADAPTED VEHICLE,Category_1,13719,
2022,4W,ADAPTED VEHICLE,Category_1,2807,
2023,2W,ADAPTED VEHICLE,Category_1,24455,78.25643268
2023,4W,ADAPTED VEHICLE,Category_1,3555,26.64766655
2024,2W,ADAPTED VEHICLE,Category_1,15864,-35.1298303
2024,4W,ADAPTED VEHICLE,Category_1,3546,-0.253164557
2025,2W,ADAPTED VEHICLE,Category_1,15927,0.397125567
2025,4W,ADAPTED VEHICLE,Category_1,1942,-45.23406655
2022,2W,ADAPTED VEHICLE,Category_2,2,
2022,4W,ADAPTED VEHICLE,Category_2,0,
2023,2W,ADAPTED VEHICLE,Category_2,6,200
2023,4W,ADAPTED VEHICLE,Category_2,4,inf
2024,2W,ADAPTED VEHICLE,Category_2,2,-66.66666667
2024,4W,ADAPTED VEHICLE,Category_2,0,-100
2025,2W,ADAPTED VEHICLE,Category_2,0,-100
2025,4W,ADAPTED VEHICLE,Category_2,0,
2022,2W,ADAPTED VEHICLE,Category_3,0,
2022,4W,ADAPTED VEHICLE,Category_3,0,
2023,2W,ADAPTED VEHICLE,Category_3,0,
2023,4W,ADAPTED VEHICLE,Category_3,0,
2024,2W,ADAPTED VEHICLE,Category_3,0,
2024,4W,ADAPTED VEHICLE,Category_3,0,
2025,2W,ADAPTED VEHICLE,Category_3,0,
2025,4W,ADAPTED VEHICLE,Category_3,0,
2022,2W,ADAPTED VEHICLE,Category_4,13721,
2022,4W,ADAPTED VEHICLE,Category_4,0,
2023,2W,ADAPTED VEHICLE,Category_4,24461,78.27417827
2023,4W,ADAPTED VEHICLE,Category_4,0,
2024,2W,ADAPTED VEHICLE,Category_4,15866,-35.13756592
2024,4W,ADAPTED VEHICLE,Category_4,0,
2025,2W,ADAPTED VEHICLE,Category_4,15927,0.384469936
2025,4W,ADAPTED VEHICLE,Category_4,0,
2022,4W,ADAPTED VEHICLE,Category_5,2807,
2023,4W,ADAPTED VEHICLE,Category_5,3559,26.79016744
2024,4W,ADAPTED VEHICLE,Category_5,3546,-0.365271144
2025,4W,ADAPTED VEHICLE,Category_5,1942,-45.23406655
2022,3W,E-RICKSHAW WITH CART (G),Category_1,0,
2023,3W,E-RICKSHAW WITH CART (G),Category_1,0,
2024,3W,E-RICKSHAW WITH CART (G),Category_1,0,
2025,3W,E-RICKSHAW WITH CART (G),Category_1,0,
2022,3W,E-RICKSHAW WITH CART (G),Category_2,20486,
2023,3W,E-RICKSHAW WITH CART (G),Category_2,34896,70.34072049
2024,3W,E-RICKSHAW WITH CART (G),Category_2,58936,68.89041724
